encoding declaration	deklaracja kodowania
segmentation	segmentacja
Note:	Uwaga:
Language Pattern	Wzorzec języka
Select Match	Wybierz dopasowanie	<FR>Choisir la correspondance
Select Match	Wybierz dopasowanie	<FR>Choisir la correspondance
Select Match	Wybierz dopasowanie	<FR>Choisir la correspondance
Insert Unicode Control Character	Wstaw znak kontrolny Unicode	<FR>Insérer un caractère de contrôle Unicode
Left-to-Right Mark (LRM U+200E)	Znak od lewej do prawej (LRM U+200E)	<FR>Marque de gauche à droite (LRM U+200E)
Right-to-Left Mark (RLM U+200F)	Znak od prawej do lewej (RLM U+200F)	<FR>Marque de droite à gauche (RLM U+200F)
Left-to-Right Embedding (LRE U+202A)	Osadzanie od lewej do prawej (LRE U+202A)	<FR>Début de l'imbrication de gauche à droite (LRE U+202A)
Right-to-Left Embedding (RLE U+202B)	Osadzanie od prawej do lewej (RLE U+202B)	<FR>Début de l'imbrication de droite à gauche (RLE U+202B)
Pop Directional Formatting (PDF U+202C)	Formatowanie pop-kierunkowe (PDF U+202C)	<FR>Fin de formatage directionnel (PDF U+202C)
Go To	Przejdź do	Atteindre
Next Segment	Następny segment	<FR>Segment suivant
Next Note	Następna notatka	<FR>Note suivante
Next Untranslated Segment	Następny nieprzetłumaczony segment	<FR>Segment non traduit suivant
Next Translated Segment	Następny przetłumaczony segment	<FR>Segment traduit suivant
Previous Segment	Poprzedni segment	<FR>Segment précédent
Previous Note	Poprzednia notatka	<FR>Note précédente
Segment Number	Numer segmentu	Segment numéro
Segment Number	Numer segmentu	<FR>Segment numéro
Forward in History	Następny segment w historii	<FR>Segment suivant dans l'historique
Back in History	Poprzedni segment w historii	<FR>Segment précédent dans l'historique
Source of Selected Match	Źródło wybranego dopasowania	<FR>Source de la correspondance sélectionnée
Next Unique Segment	Następny unikalny segment	<FR>Segment unique suivant
Tools	Narzędzia	<FR>Outils
Check Issues	Wyświetlanie błędów	<FR>Afficher les erreurs
Check Issues for Current Document	Wyświetlanie błędów dla bieżącego dokumentu	<FR>Afficher les erreurs pour le document actuel
Statistics	Statystyki	<FR>Statistiques
Match Statistics	Statystyki dopasowań	<FR>Statistiques des correspondances
Match Statistics per File	Statystyki dopasowań dla pliku	<FR>Statistiques des correspondances par fichier
Align Files	Wyrównywanie plików	<FR>Aligner des fichiers
Scripting	Skrypty	<FR>Scripts
Options	Opcje	<FR>Options
Use TAB to Advance	Użyj klawisza TAB, aby przejść do następnego segmentu	<FR>Utiliser TAB pour valider
Mark Translated Segments	Zaznacz przetłumaczone segmenty	<FR>Marquer les segments traduits
Mark Untranslated Segments	Zaznacz nieprzetłumaczone segmenty	<FR>Marquer les segments non traduits
Mark Paragraph Delimitations	Zaznacz granice akapitów	<FR>Marquer les délimitations de paragraphes
File Filters	Filtry plików	<FR>Filtres de fichiers
Editor	Edytor	<FR>Éditeur
Segmentation	Segmentacja	<FR>Segmentation
Machine Translate	Tłumaczenie maszynowe	<FR>Traduction automatique
Glossary	Glosariusz	<FR>Glossaires
Display context description for TBX glossaries	Wyświetl opis kontekstu dla glosariuszy TBX	<FR>Afficher la description du contexte pour les glossaires TBX
Use terms appearing separately in the source text	Użyj terminów, które pojawiają się oddzielnie w tekście źródłowym	<FR>Utiliser les termes apparaissant séparément dans le texte source
Use stemming for glossary entries	Użyj lematyzacji dla haseł glosariusza	<FR>Utiliser la lemmatisation pour les entrées de glossaire
Replace glossary hits when inserting source text	Zastąp hasła glosariusza podczas wstawiania tekstu źródłowego	<FR>Remplacer les entrées de glossaire lors de l'insertion du texte source
To add files to the project you can - drag and drop files on this Editor pane - use Project > Copy Files to Source Folder... - click on Copy Files to Source Folder... in the Project Files window	Aby dodać pliki do projektu, możesz - przeciągnąć i upuścić pliki w panelu edytora - użyć opcji Projekt > Kopiuj pliki do folderu źródłowego - kliknąć przycisk Kopiuj pliki do folderu źródłowego w oknie Pliki projektu - skopiować pliki do folderu źródłowego projektu za pomocą menedżera plików, a następnie załadować ponownie projekt, korzystając z polecenia Projekt > Załaduj ponownie.	<FR>Pour ajouter des fichiers à votre projet vous pouvez
Download MediaWiki Page	Pobierz stronę MediaWiki	<FR>Télécharger une page MediaWiki
Create Current Translated &Document	Utwórz aktualnie tłumaczony dokument	<FR>Créer le document &actuel traduit
Root	Root	<FR>Racine
Dictionaries	Słowniki	<FR>Dictionnaires
TMs	Pamięci tłumaczeniowe	les MT
Current Target Document	Bieżący dokument docelowy	<FR>Document cible actuel
Insert Source	Wstaw tekst źródłowy	<FR>Insérer le texte source
Replace with Source	Zastąp tekstem źródłowym	<FR>Remplacer par la source
Export Selection	Eksportuj zaznaczenie	<FR>Exporter la sélection
Select Match	Wybierz dopasowanie	<FR>Choisir une correspondance
Next Note	Następna notatka	<FR>Note suivante
Previous Note	Poprzednia notatka	<FR>Note précédente
Scripting	Skrypty	<FR>Scripts
Machine Translate	Tłumaczenie maszynowe	<FR>Traduction automatique
Root	Folder główny projektu	<FR> Racine
